country_iso3,t,gdp,gdpcap,pop,co2_pc,source
COD,2065,1144774168661.4937,6053.777888203273,189100787.9381013,0.9331989888197588,projected
COD,2070,1497994555749.537,7675.981632538614,195153483.61433193,0.9307876692161834,projected
COG,2012,11694979455.2472,2467.0610290683794,4740450.0,0.4982339658362375,hist
COG,2013,11611660392.468199,2390.6575493866194,4857099.0,0.5073951312200764,hist
COG,2014,12383378937.2556,2488.6811854899233,4975880.0,0.5159054409590689,hist
COG,2015,12434793867.3568,2439.351894036956,5097581.0,0.5237187494744903,hist
COG,2016,11354801748.8219,2174.1931025122467,5222536.0,0.5308367290853393,hist
COG,2017,10719526284.716599,2003.2712107518746,5351011.0,0.537268398229034,hist
COG,2018,10472514332.3273,1909.9560382117072,5483118.0,0.5430385211446209,hist
COG,2019,10590275024.738003,1885.5108087773149,5616661.0,0.5483968982794157,hist
COG,2020,9926500702.40064,1725.5104004996253,5752791.0,0.5532574800983507,hist
COG,2021,10027261669.7995,1701.7906045687141,5892183.0,0.5432244684264391,hist
COG,2022,10175199489.7639,1686.002343913858,6035104.0,0.5333431377321967,hist
COG,2023,10369226732.5707,1677.085492059241,6182885.0,0.5235071701566439,hist
COG,2024,10636718505.674,1679.580610977077,6332961.0,0.5139441022308192,hist
COG,2025,10636718505.673956,1679.58061097707,6332961.0,0.5167868997553627,projected
COG,2030,13917201783.12479,2016.8393072018896,6900501.062939493,0.5692825027059645,projected
COG,2035,17789950940.970276,2385.57997156325,7457285.504167221,0.5273150893290849,projected
COG,2040,22399108426.24991,2806.4576464899965,7981274.349272368,0.8500068948582452,projected
COG,2045,27797256147.956272,3289.476437808963,8450358.795234697,1.0850743487918817,projected
COG,2050,34097667571.730316,3840.2432433600534,8879038.490774421,1.419136599060662,projected
COG,2055,41392426438.69336,4468.669834544649,9262807.048019735,1.2361492106838323,projected
COG,2060,49720511377.899666,5181.789430754212,9595239.644977782,1.0531618223070027,projected
COG,2065,58994809077.43613,5975.0641885327395,9873502.144237738,0.9790843624284632,projected
COG,2070,69156197589.87811,6844.606732973409,10103750.337725472,0.9050069025499233,projected
COL,2012,259471791121.288,5675.756179783055,45715810.0,9.630682251938662,hist
COL,2013,272793056063.57,5910.805923011657,46151584.0,9.044993125263046,hist
COL,2014,285066097496.814,6121.839820198243,46565429.0,8.474249856046638,hist
COL,2015,293492370193.166,6248.514905345121,46969940.0,7.915134658464542,hist
COL,2016,299618678572.191,6316.070677825409,47437512.0,7.3557761629657135,hist
COL,2017,303691577641.583,6309.677452925177,48131078.0,6.7753736992967415,hist
COL,2018,311479214511.795,6353.546428539199,49024465.0,6.1861431838164895,hist
COL,2019,321405606655.842,6439.963598126472,49907985.0,5.6191144563339925,hist
COL,2020,298309675728.093,5891.955232154033,50629997.0,5.087991610981135,hist
COL,2021,330530695024.886,6457.1692180708615,51188173.0,5.135156122880182,hist
COL,2022,354752900899.02,6856.725905053746,51737944.0,5.182144849049278,hist
COL,2023,357280089727.874,6828.5975379111305,52321152.0,5.224804300945057,hist
COL,2024,362990610076.174,6863.595631943418,52886363.0,5.268315387843932,hist
