country_iso3,t,gdp,gdpcap,pop,co2_pc,source
RUS,2055,2740552460312.58,19770.04923403672,138621428.1952501,14.4602547028414,projected
RUS,2060,2941298088633.893,21322.184754008074,137945436.76304078,14.599462192659031,projected
RUS,2065,3144471301683.1816,22950.94600560615,137008352.54961133,14.30638422977807,projected
RUS,2070,3343519046810.478,24600.6169883089,135911999.6217753,14.013306266897109,projected
RWA,2012,7059501492.72193,651.8528186658335,10829901.0,0.03968225796404024,hist
RWA,2013,7392699272.959951,666.4087887831754,11093340.0,0.039862769340620614,hist
RWA,2014,7848619320.216641,690.6103949443566,11364757.0,0.04000680191113133,hist
RWA,2015,8543760199.80208,733.9986298824933,11640022.0,0.04013084429713328,hist
RWA,2016,9053886356.47148,759.6062881551093,11919183.0,0.04023599930693815,hist
RWA,2017,9408633100.29498,771.069237513582,12202060.0,0.04032405736058761,hist
RWA,2018,10209916254.6891,817.578437300036,12487996.0,0.04039822688823688,hist
RWA,2019,11174486370.4509,874.639658935976,12776103.0,0.04046219917117586,hist
RWA,2020,10797494124.6384,826.3913077010221,13065837.0,0.040518303775526995,hist
RWA,2021,11969932683.8627,896.2710335749883,13355260.0,0.043085444423445696,hist
RWA,2022,12946823692.9381,948.4136869480252,13651030.0,0.045522504333652056,hist
RWA,2023,14014924091.7947,1004.332166500235,13954471.0,0.04782989137868151,hist
RWA,2024,15260942682.7546,1070.4500377092606,14256567.0,0.05004378627899045,hist
RWA,2025,15284644376.005316,1072.1125482737405,14256567.0,0.05327119438103542,projected
RWA,2030,21143193485.181866,1347.849443855473,15686613.65078176,0.06428443175379096,projected
RWA,2035,28847702942.53126,1682.2929934394924,17147847.048659086,0.08394593129032457,projected
RWA,2040,38742783964.28535,2079.949500581062,18626790.676149603,0.12662446258905927,projected
RWA,2045,51018753658.0024,2543.2273611166333,20060634.152505353,0.16012262392007032,projected
RWA,2050,66286319634.53807,3097.7478678576463,21398229.443502337,0.20397341891789045,projected
RWA,2055,86397855085.51016,3826.547789344235,22578538.10844902,0.1953214389703294,projected
RWA,2060,111759059891.6606,4729.927464627394,23628070.56290969,0.1866694590227683,projected
RWA,2065,142613749479.25836,5795.720487060392,24606733.50235917,0.18313012886132743,projected
RWA,2070,179765970273.28076,7044.196969898461,25519725.107271098,0.1795907986998866,projected
SAU,2012,618711318317.787,23643.035832464662,26168861.0,21.61386699054196,hist
